# ID	lat[deg]	long[deg]	czHelio[km/s]	Ks	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]
02485298+5302143	-5.8576	140.1717	4735	9.537	201742	2	-5.9151	140.3838	4700
04270415+2027093	-19.3837	176.3136	3856	9.883	0	1	-19.3837	176.3136	3856
05384231+1544532	-8.2529	190.4456	5234	9.928	200146	9	-8.1815	190.0536	5432
09463018-2134178	23.8819	255.6695	8794	10.101	100681	4	24.1398	256.1602	8663
19121580-6358361	-26.4353	332.1378	11045	10.272	200350	6	-26.5526	331.9792	11153
12525011-1018361	52.5601	303.4973	4096	10.410	0	1	52.5601	303.4973	4096
03212772+4048059	-13.6788	151.2480	6088	10.462	0	1	-13.6788	151.2480	6088
08533956+7256532	34.6537	140.8088	3773	10.572	107629	1	34.6537	140.8088	3773
04194441+3557293	-10.0798	163.3620	5248	10.618	0	1	-10.0798	163.3620	5248
06074593+3225063	5.8634	179.3644	8608	10.692	100410	5	6.0366	179.3584	7629
05430236+1620591	-7.0504	190.4698	5737	10.723	200333	6	-6.6032	190.3061	5589
05174145+1936010	-10.3992	184.4263	5272	10.726	200178	8	-10.8105	184.6056	5580
06010670+3342353	5.2671	177.5516	7698	10.819	0	1	5.2671	177.5516	7698
05323561+1522511	-9.6993	189.9828	6402	10.841	209705	1	-9.6993	189.9828	6402
18570768-7828212	-26.8208	315.8677	12977	10.841	204810	1	-26.8208	315.8676	12977
04301670+2326448	-16.8747	174.4260	5424	10.857	0	1	-16.8747	174.4260	5424
05242105+1422371	-11.9199	189.7721	5882	10.905	201659	2	-11.9048	189.8059	5765
05232510+1633198	-10.9359	187.7759	5710	10.916	209946	1	-10.9359	187.7759	5710
17413903-0437191	13.2516	20.5941	7962	10.970	0	1	13.2516	20.5941	7962
08324123-5113345	-6.7304	268.1782	11521	10.995	0	1	-6.7304	268.1782	11521
07365795-4047484	-9.4953	254.1287	8725	11.005	0	1	-9.4953	254.1287	8725
07244714+1405193	13.6602	203.9016	5405	11.031	0	1	13.6602	203.9016	5405
18044513+1731392	17.9998	43.8459	5544	11.102	0	1	17.9998	43.8459	5544
05272524+1612051	-10.3179	188.6056	5721	11.107	0	1	-10.3179	188.6056	5721
20595692-5533431	-40.0702	341.6746	2003	11.121	206863	1	-40.0702	341.6745	2003
14593308-5154213	6.1219	322.1444	11102	11.123	0	1	6.1219	322.1444	11102
23122811-6131165	-51.8340	321.7742	7884	11.123	202110	2	-51.7591	322.0235	7989
14553218-5209040	6.1944	321.4800	5092	11.128	0	1	6.1944	321.4800	5092
18361223+2103534	12.6538	50.3221	5080	11.193	111699	1	12.6537	50.3221	5080
04425866+2229294	-15.2310	177.1302	4990	11.200	0	1	-15.2310	177.1302	4990
04141963+2025240	-21.6476	174.2360	6395	11.209	0	1	-21.6476	174.2360	6395
04141374+0251463	-32.7007	189.6273	12377	11.214	205203	1	-32.7007	189.6273	12377
14315310-5443499	5.3386	317.1798	20241	11.214	0	1	5.3386	317.1798	20241
06572590-3841539	-15.4815	248.8795	10976	11.224	0	1	-15.4815	248.8795	10976
14344657-5259184	6.7824	318.2498	11123	11.249	0	1	6.7824	318.2498	11123
14580383-5147302	6.3311	321.9949	10667	11.265	0	1	6.3311	321.9949	10667
14373109-5353249	5.7925	318.2688	2956	11.266	0	1	5.7925	318.2688	2956
05220615+1500037	-12.0430	188.9353	9890	11.272	0	1	-12.0430	188.9353	9890
16135369-3911014	8.6062	340.2262	8105	11.275	0	1	8.6062	340.2262	8105
13323711-5701208	5.4002	308.5393	5660	11.279	0	1	5.4002	308.5393	5660
14042078-1513217	44.1025	327.7848	8608	11.302	0	1	44.1025	327.7848	8608
15000436-5229581	5.5619	321.9312	5324	11.314	0	1	5.5619	321.9312	5324
15395744-3414570	16.7959	338.3262	12122	11.314	0	1	16.7959	338.3262	12122
13321039-5717285	5.1445	308.4366	5702	11.315	0	1	5.1445	308.4366	5702
14210708-7120446	-9.7225	310.0416	17086	11.315	0	1	-9.7225	310.0416	17086
06130162+3225155	6.8429	179.8904	6985	11.318	0	1	6.8429	179.8904	6985
15251516-3341130	19.0875	336.1317	21224	11.323	0	1	19.0875	336.1317	21224
08242889-5020381	-7.2821	266.6988	11054	11.333	0	1	-7.2821	266.6988	11054
08490622-5230051	-5.4898	270.7438	12561	11.333	0	1	-5.4898	270.7438	12561
14504507-5234375	6.1458	320.6309	10842	11.336	0	1	6.1458	320.6309	10842
09205971-3903274	7.6044	264.4379	7854	11.339	0	1	7.6044	264.4379	7854
14300299-5234205	7.4400	317.7447	4437	11.342	0	1	7.4400	317.7447	4437
17113881-2413494	8.9273	359.7517	8961	11.342	0	1	8.9273	359.7517	8961
16242545-2504417	16.8023	352.2244	12393	11.343	0	1	16.8023	352.2244	12393
07544758+6301019	31.1018	153.5809	11619	11.346	0	1	31.1018	153.5809	11619
22372813+3355235	-21.1863	93.5197	6302	11.347	200038	22	-21.0728	94.0224	6589
08220940-4955096	-7.3506	266.1336	1517	11.356	0	1	-7.3506	266.1336	1517
07510509-3822454	-5.9448	253.3253	8406	11.357	0	1	-5.9448	253.3253	8406
15390289-3454267	16.3965	337.7463	11878	11.358	0	1	16.3965	337.7463	11878
16165319-3636147	10.0328	342.4849	15438	11.371	0	1	10.0328	342.4849	15438
03215557+2149375	-29.0022	163.3183	14519	11.372	0	1	-29.0022	163.3183	14519
15531790-0444453	35.7550	4.0200	22013	11.379	0	1	35.7550	4.0200	22013
13252800-5612203	6.3519	307.6810	11750	11.380	0	1	6.3519	307.6810	11750
14410059-5237168	6.7403	319.2671	10361	11.380	0	1	6.7403	319.2671	10361
16213313-3532469	10.1047	343.9219	16199	11.380	0	1	10.1047	343.9219	16199
06441354+1628577	5.8845	197.4057	12337	11.384	0	1	5.8845	197.4057	12337
08360158-5425415	-8.2065	271.0889	12571	11.384	0	1	-8.2065	271.0889	12571
21205474-6801194	-38.6825	325.3289	10600	11.384	200454	5	-38.9899	325.9240	10450
09220499-5745582	-5.4898	277.8328	10226	11.393	0	1	-5.4898	277.8328	10226
14462697-5244476	6.2793	319.9664	10305	11.405	0	1	6.2793	319.9664	10305
09261996-5807100	-5.3451	278.4851	10262	11.408	0	1	-5.3451	278.4851	10262
14572855-5143042	6.4391	321.9489	10780	11.409	0	1	6.4391	321.9489	10780
16005204-4117112	8.7522	336.9359	4576	11.414	0	1	8.7522	336.9359	4576
16013838-4022084	9.3413	337.6634	13091	11.420	0	1	9.3413	337.6634	13091
16572980-2244216	12.4283	359.0382	17044	11.420	0	1	12.4283	359.0382	17044
13183446-6949234	-7.0755	305.2849	14812	11.435	0	1	-7.0755	305.2849	14812
04395875+2137140	-16.3179	177.3845	7317	11.436	0	1	-16.3179	177.3845	7317
15162151-5040098	5.8718	325.0531	21031	11.436	0	1	5.8718	325.0531	21031
13393947-5516027	6.9584	309.8168	5294	11.441	0	1	6.9584	309.8168	5294
02482508+4758003	-10.4432	142.3598	8962	11.457	0	1	-10.4432	142.3598	8962
14585789-5236049	5.5519	321.7339	5207	11.458	0	1	5.5519	321.7339	5207
22090291-7502560	-37.9440	315.2237	11391	11.458	206090	1	-37.9441	315.2237	11391
14560761-5203426	6.2316	321.6024	10543	11.459	0	1	6.2316	321.6024	10543
06135924+3236467	7.1117	179.8145	7024	11.464	0	1	7.1117	179.8145	7024
15574761-4020589	9.8399	337.1187	12981	11.467	0	1	9.8399	337.1187	12981
16325935-2723101	13.8351	351.7491	4847	11.468	0	1	13.8351	351.7491	4847
17093394-2238225	10.2353	0.7899	9221	11.468	0	1	10.2353	0.7899	9221
00345616+1027533	-52.1943	116.3047	17016	11.473	203572	1	-52.1943	116.3047	17016
03210741+1211394	-36.4807	170.5533	7346	11.475	0	1	-36.4807	170.5533	7346
14285947-5444549	5.4780	316.7840	4902	11.481	0	1	5.4780	316.7840	4902
15545670-6047045	-5.4828	323.5407	5112	11.484	0	1	-5.4828	323.5407	5112
15251676-3337300	19.1345	336.1748	19804	11.491	0	1	19.1345	336.1748	19804
16175616-3825189	8.5979	341.3343	8120	11.497	0	1	8.5979	341.3343	8120
04141724+2312160	-19.7732	172.0393	6172	11.499	0	1	-19.7732	172.0393	6172
03212745+3046206	-21.9211	157.2563	11324	11.501	0	1	-21.9211	157.2563	11324
19190375-0250124	-7.4378	33.5510	7161	11.501	0	1	-7.4378	33.5510	7161
15492407-6102129	-5.2507	322.8567	14002	11.502	0	1	-5.2507	322.8567	14002
17333667-1632035	8.8833	9.1203	8166	11.502	0	1	8.8833	9.1203	8166
04394985+2715306	-12.7626	172.8631	10759	11.503	0	1	-12.7626	172.8631	10759
04395162+3727031	-6.1101	165.0302	4697	11.503	0	1	-6.1101	165.0302	4697
06410069-1220226	-7.8735	222.8102	9592	11.503	0	1	-7.8735	222.8102	9592
15594742-5956494	-5.2334	324.5440	10300	11.503	0	1	-5.2334	324.5440	10300
20460334+5915577	10.0112	95.8415	31030	11.503	0	1	10.0112	95.8415	31030
22520937+3741024	-19.4099	98.2701	19664	11.503	0	1	-19.4099	98.2701	19664
20121850+0929126	-13.1914	51.0095	7508	11.504	0	1	-13.1914	51.0095	7508
06330049+2222008	6.1659	190.9253	19970	11.505	0	1	6.1659	190.9253	19970
08484607-3243335	6.9073	255.3051	11363	11.505	0	1	6.9073	255.3051	11363
05170984+1238502	-14.3228	190.3057	8400	11.506	0	1	-14.3228	190.3057	8400
06224182+2635317	6.0027	186.0683	6174	11.506	0	1	6.0027	186.0683	6174
06591158-3939322	-15.5357	249.9360	6318	11.506	0	1	-15.5357	249.9360	6318
09514975-4126539	9.8271	270.4531	3486	11.506	0	1	9.8271	270.4531	3486
14513118-6630333	-6.3749	314.5077	17612	11.506	0	1	-6.3749	314.5077	17612
16424712-6151097	-10.2859	326.8774	11860	11.506	0	1	-10.2859	326.8774	11860
18042392-4321128	-10.4361	349.3045	10043	11.506	0	1	-10.4361	349.3045	10043
05393634+1259047	-9.4932	192.9549	7196	11.507	0	1	-9.4932	192.9549	7196
04043821+6137377	6.8842	143.8716	20116	11.508	0	1	6.8842	143.8716	20116
04313828+5857393	7.3431	148.1540	10612	11.508	0	1	7.3431	148.1540	10612
07464588-1041200	7.1521	228.8539	10949	11.508	0	1	7.1521	228.8539	10949
08103051-5038089	-9.3013	265.7157	10840	11.508	0	1	-9.3013	265.7157	10840
08154944-5035581	-8.5699	266.1421	19669	11.508	0	1	-8.5699	266.1421	19669
08583485-5747164	-7.8110	275.7156	17985	11.508	0	1	-7.8110	275.7156	17985
10131383-7608441	-16.1645	293.7972	16731	11.508	0	1	-16.1645	293.7972	16731
16212323-8231330	-22.4336	309.3412	12779	11.508	0	1	-22.4336	309.3412	12779
19523356+5734594	15.0222	90.5594	17275	11.509	0	1	15.0222	90.5594	17275
22345895+5206157	-5.3220	102.6907	11932	11.509	0	1	-5.3220	102.6907	11932
05194119+2827437	-5.0267	177.2968	10826	11.510	0	1	-5.0267	177.2968	10826
06585002-2051114	-7.7865	232.4217	12385	11.510	0	1	-7.7865	232.4217	12385
07381158-3252057	-5.5101	247.2094	6759	11.510	0	1	-5.5101	247.2094	6759
07450047-3632559	-6.0814	251.1256	6378	11.510	0	1	-6.0814	251.1256	6378
10212525-4912265	6.6643	279.3249	18278	11.510	0	1	6.6643	279.3249	18278
18273360+0252390	6.6228	32.7771	24346	11.510	0	1	6.6228	32.7771	24346
00315278-8120574	-35.7445	303.8370	8650	11.511	209047	1	-35.7445	303.8370	8650
05315137+1517480	-9.8948	189.9604	15586	11.511	0	1	-9.8948	189.9604	15586
04570496+2541565	-10.7204	176.5689	9043	11.512	0	1	-10.7204	176.5689	9043
05265332+5058497	8.7553	159.3840	8392	11.512	0	1	8.7553	159.3840	8392
07511654-3804424	-5.7612	253.0828	8325	11.512	0	1	-5.7612	253.0828	8325
11100933-4538255	13.6772	285.0085	11391	11.512	0	1	13.6772	285.0085	11391
08120442-1842171	8.2959	238.9624	26528	11.513	0	1	8.2959	238.9624	26528
15033214-5132167	6.1475	322.8665	10523	11.513	0	1	6.1475	322.8665	10523
07152143-2511324	-6.3265	238.0447	13148	11.514	0	1	-6.3265	238.0447	13148
21521331+4454092	-7.2032	92.7264	10736	11.514	0	1	-7.2032	92.7264	10736
03444530+3021303	-19.1576	161.7473	7580	11.515	0	1	-19.1576	161.7473	7580
14562482-5213557	6.0603	321.5622	4603	11.515	0	1	6.0603	321.5622	4603
20443218+3055103	-7.3178	73.3143	14624	11.515	0	1	-7.3178	73.3143	14624
19221808-0530338	-9.3645	31.5085	9436	11.516	0	1	-9.3645	31.5085	9436
03565837+4638447	-5.1586	152.8682	12542	11.517	0	1	-5.1586	152.8682	12542
05270585+5046117	8.6688	159.5809	8443	11.517	0	1	8.6688	159.5809	8443
13493777-5403270	7.8443	311.4912	14454	11.517	0	1	7.8443	311.4912	14454
03545726+4544348	-6.0740	153.1847	12066	11.518	0	1	-6.0740	153.1847	12066
05562627+3859276	7.0358	172.4578	9415	11.519	0	1	7.0358	172.4578	9415
09054896-3326449	9.1826	258.1781	16847	11.519	0	1	9.1826	258.1781	16847
15594078-6323226	-7.8230	322.2609	7195	11.519	0	1	-7.8230	322.2609	7195
04533493+2451242	-11.8608	176.7594	10132	11.520	0	1	-11.8608	176.7594	10132
06082386-6628439	-28.9736	276.3062	11051	11.520	0	1	-28.9736	276.3062	11051
10145385-4929270	5.8388	278.5942	18851	11.520	0	1	5.8388	278.5942	18851
17363421-1021080	11.4786	14.8682	11092	11.520	0	1	11.4786	14.8682	11092
21423821+6115259	6.2588	102.1414	12134	11.520	0	1	6.2588	102.1414	12134
02141794+5144520	-9.0506	135.7443	14728	11.521	200180	8	-8.9969	136.0373	14314
07434562-3813419	-7.1191	252.4779	8123	11.521	0	1	-7.1191	252.4779	8123
10362682-8138020	-20.0878	297.9946	12091	11.521	0	1	-20.0878	297.9946	12091
12102063-4646288	15.5152	295.6494	9962	11.521	0	1	15.5152	295.6494	9962
15591269-6158428	-6.7231	323.1535	13763	11.521	0	1	-6.7231	323.1535	13763
17160635-2329173	8.5160	0.9579	9984	11.521	0	1	8.5160	0.9579	9984
09223903-4121185	6.2117	266.3058	4917	11.522	0	1	6.2117	266.3058	4917
16500359-2057102	14.8821	359.4342	17005	11.522	0	1	14.8821	359.4342	17005
17202061-1550447	11.9413	7.9746	11350	11.522	0	1	11.9413	7.9746	11350
