# group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
202766	2	-37.9761	108.4115	4354	33.52	0.40
0	1	-66.4500	89.6500	11311	35.89	0.50
209793	1	-61.8597	95.1365	7322	35.34	0.50
201987	2	-72.8450	337.0068	14988	36.91	0.50
0	1	-28.0900	110.9500	4779	34.34	0.40
200033	25	-75.6907	356.2479	14998	36.25	0.15
209949	1	-40.9836	107.1779	6804	35.35	0.40
209247	1	-32.6706	109.8059	6899	34.95	0.40
200218	7	-61.4760	317.6049	10416	36.21	0.17
0	1	17.9700	120.8400	4104	34.15	0.54
0	1	-64.3200	93.2700	14399	36.38	0.50
205549	1	-73.0342	77.2885	11296	36.13	0.50
0	1	-57.0900	99.5900	6350	34.56	0.40
0	1	-73.6200	75.8600	-108	24.92	0.10
0	1	-79.0000	25.5400	9723	35.64	0.40
200542	5	-34.3534	110.4224	7575	34.97	0.14
201890	2	-63.8115	94.3987	6338	35.07	0.40
211101	1	-52.2371	103.0009	5906	34.26	0.40
0	1	-36.5400	305.4600	1958	30.42	0.54
200697	4	-70.6612	331.2258	11752	36.76	0.22
208101	1	-42.4979	107.2409	7882	35.32	0.40
202410	2	-56.5860	100.3958	8650	35.52	0.40
207476	1	-62.2519	96.2229	7302	35.11	0.40
205137	1	-45.3441	106.3215	11218	36.57	0.40
211714	1	-45.1747	106.4089	1059	31.01	0.17
200108	11	-65.1881	320.5559	10578	35.74	0.12
200076	13	-52.8603	103.9866	11575	35.37	0.28
208532	1	-38.3606	108.8694	7237	34.82	0.16
0	1	-45.1700	106.5900	6412	35.19	0.40
208331	1	-70.9101	330.1062	9024	35.67	0.50
202396	2	-40.6840	107.8275	2356	32.34	0.30
207374	1	-64.1324	320.0168	10474	35.71	0.31
0	1	-70.5400	85.7200	11344	35.95	0.20
205875	1	-64.8255	320.6758	11872	36.12	0.40
209619	1	-73.2684	79.4469	7198	35.08	0.50
201376	3	-50.3915	104.4665	7887	35.14	0.40
0	1	-38.9900	108.8800	4452	33.41	0.40
0	1	-54.8000	102.3600	5091	34.48	0.40
200786	4	-30.3251	110.7967	4834	33.76	0.28
211271	1	-55.7390	101.8517	3053	33.24	0.40
200941	3	-79.2725	11.8304	8225	34.98	0.50
208543	1	-56.1533	313.3381	9035	35.42	0.50
201263	3	-54.1303	103.0053	6207	35.00	0.28
207240	1	-74.9101	75.4660	7412	35.01	0.40
0	1	-79.7900	24.8300	737	29.70	0.20
206241	1	-8.6294	116.0841	9523	35.77	0.40
211136	1	-73.1154	81.7267	5751	34.49	0.50
210246	1	-39.1295	109.3301	6644	34.68	0.40
200409	5	-63.3393	318.4432	10250	35.75	0.29
207036	1	-64.2414	96.3411	6193	34.21	0.50
208894	1	-35.6387	110.5528	7556	35.08	0.40
201352	3	-55.8471	102.2912	5340	34.68	0.28
210067	1	-52.6444	104.5594	5257	34.27	0.17
0	1	-42.3100	108.6500	7896	35.17	0.40
0	1	-20.3700	114.0900	4247	34.32	0.54
0	1	-47.3800	106.9200	5451	34.61	0.40
0	1	-47.7200	106.8500	5410	34.08	0.40
209616	1	-34.1472	111.1073	4550	33.78	0.28
200373	6	-28.8858	112.8067	4886	34.30	0.15
209085	1	-34.8774	111.1717	8741	34.39	0.40
0	1	-78.1200	351.4800	227	27.53	0.20
0	1	-80.1400	13.9900	1497	31.41	0.30
205998	1	-78.5856	354.2103	6771	35.13	0.40
0	1	-70.9400	88.9500	9109	35.89	0.50
0	1	-37.3200	110.7200	4580	34.08	0.40
212360	1	-45.8259	108.1255	865	28.79	0.40
202837	2	-36.0356	111.3921	4579	33.87	0.18
209361	1	-79.1634	358.1175	6976	35.12	0.40
207366	1	-34.1379	111.8023	8312	35.25	0.40
0	1	-52.1600	310.2400	1834	32.71	0.40
212365	1	-80.4348	43.6916	545	29.48	0.17
209944	1	-67.7141	95.1454	6310	34.24	0.50
202950	2	-69.0569	323.0411	6000	34.69	0.40
200264	7	-33.3582	112.2113	8148	35.33	0.20
208141	1	-33.0268	112.2620	7033	35.01	0.40
200225	7	-59.2789	313.6942	9722	35.79	0.22
207197	1	-36.4169	111.5692	10231	35.97	0.40
202114	2	-79.2282	354.0841	7780	34.83	0.31
207495	1	-55.1083	105.3436	6030	34.22	0.40
0	1	-37.0300	111.7500	10748	36.17	0.40
0	1	-49.6800	107.9900	6352	34.07	0.40
202010	2	-34.1249	112.1679	7526	35.42	0.28
210165	1	-61.6654	101.8405	5447	34.06	0.50
202547	2	-81.3019	29.6370	10405	35.23	0.50
207925	1	-39.6510	111.1389	7629	35.58	0.40
202487	2	-76.9296	338.7874	15258	36.50	0.35
202784	2	-39.9256	111.2591	5965	34.72	0.40
205874	1	-66.7295	98.1115	11932	36.14	0.50
201763	2	-66.5941	318.6913	9848	35.14	0.50
207707	1	-67.7592	97.3079	8235	34.02	0.50
200037	21	-32.3923	114.3592	6775	35.06	0.23
205449	1	-65.6317	99.6614	11004	35.55	0.50
0	1	-48.8900	108.9900	1679	31.54	0.54
212376	1	-80.6719	55.9036	470	29.11	0.20
0	1	-54.3000	106.9800	5838	34.34	0.40
0	1	-68.0100	97.6200	8613	35.24	0.50
211877	1	-62.1618	102.8518	3946	33.47	0.15
207997	1	-43.4287	110.8972	5392	34.77	0.40
210012	1	-56.2137	311.0974	4600	34.30	0.50
200701	4	-68.3182	97.5907	5475	33.78	0.50
0	1	-75.7300	332.8800	129	26.49	0.12
212380	1	-80.0219	65.7105	376	28.45	0.20
0	1	-80.7100	357.8400	36	26.46	0.16
201098	3	-80.5511	353.3301	7625	34.45	0.50
211289	1	-45.9279	110.5977	4213	33.33	0.40
0	1	-47.9100	110.0400	5474	34.61	0.40
0	1	-32.3400	113.9600	4877	34.10	0.40
210414	1	-54.7789	107.8889	3966	33.84	0.40
201726	2	-70.5974	97.1528	6840	34.77	0.29
211688	1	-20.2578	116.1555	5071	34.40	0.40
209216	1	-74.1732	90.7665	6415	34.08	0.50
209182	1	-66.0392	101.4435	6103	34.26	0.50
211455	1	-78.9058	75.9913	3233	33.20	0.40
205412	1	-65.1947	102.1745	11005	35.27	0.50
0	1	-55.1600	107.9900	5680	34.86	0.40
200440	5	-67.7877	99.7458	7804	35.17	0.40
0	1	-32.1000	114.3000	4844	33.84	0.40
201800	2	-37.6186	113.2771	5920	34.54	0.28
212242	1	-50.5655	109.8741	1160	31.35	0.22
207516	1	-80.1509	347.6828	7553	34.71	0.50
0	1	-43.6600	112.0900	5224	33.91	0.40
206497	1	-75.9482	88.4353	7681	35.40	0.35
