# pgc	lat[deg]	long[deg]	czHelio[km/s]	mu	muError	group	groupSize	latGroup[deg]	longGroup[deg]	czGroupHelio[km/s]	muGroup	muGroupError
4	-38.2729	107.8322	4458	33.52	0.40	202766	2	-37.98	108.41	4353	33.52	0.40
27	-66.4507	89.6452	11311	35.89	0.50	0	1	-66.45	89.65	11311	35.89	0.50
40	-61.8596	95.1366	7277	35.34	0.50	209793	1	-61.86	95.14	7277	35.34	0.50
51	-72.9440	337.6665	15015	36.91	0.50	201987	2	-72.84	337.01	14986	36.91	0.50
55	-28.0856	110.9496	4779	34.34	0.40	0	1	-28.09	110.95	4779	34.34	0.40
64	-76.1593	350.7982	15596	36.63	0.50	200033	25	-75.69	356.24	15000	36.25	0.15
66	-76.0782	350.3084	14996	36.31	0.50	200033	25	-75.69	356.24	15000	36.25	0.15
70	-40.9837	107.1780	6800	35.35	0.40	209949	1	-40.98	107.18	6800	35.35	0.40
76	-32.6707	109.8059	6920	34.95	0.40	209247	1	-32.67	109.81	6920	34.95	0.40
82	-61.5837	318.5468	9426	35.30	0.50	200218	7	-61.47	317.61	10418	36.21	0.17
94	17.9718	120.8356	4104	34.15	0.54	0	1	17.97	120.84	4104	34.15	0.54
114	-75.9911	348.8694	14676	35.64	0.50	200033	25	-75.69	356.24	15000	36.25	0.15
115	-64.3187	93.2687	14399	36.38	0.50	0	1	-64.32	93.27	14399	36.38	0.50
123	-73.0343	77.2885	11400	36.13	0.50	205549	1	-73.03	77.29	11400	36.13	0.50
124	-57.0904	99.5866	6350	34.56	0.40	0	1	-57.09	99.59	6350	34.56	0.40
143	-73.6245	75.8635	-108	24.92	0.10	0	1	-73.62	75.86	-108	24.92	0.10
145	-79.0034	25.5365	9723	35.64	0.40	0	1	-79.00	25.54	9723	35.64	0.40
165	-34.3974	109.6981	7620	34.68	0.40	200542	5	-34.36	110.42	7576	34.97	0.14
176	-63.8349	94.3256	6465	35.07	0.40	201890	2	-63.82	94.39	6339	35.07	0.40
179	-52.2368	103.0012	5537	34.26	0.40	211101	1	-52.24	103.00	5537	34.26	0.40
181	-36.5399	305.4559	1958	30.42	0.54	0	1	-36.54	305.46	1958	30.42	0.54
182	-70.5123	329.9991	11842	35.90	0.50	200697	4	-70.66	331.23	11753	36.76	0.22
186	-42.4978	107.2408	7894	35.32	0.40	208101	1	-42.50	107.24	7894	35.32	0.40
196	-76.5653	350.1860	14637	36.63	0.50	200033	25	-75.69	356.24	15000	36.25	0.15
201	-56.5458	100.6048	8629	35.52	0.40	202410	2	-56.59	100.39	8650	35.52	0.40
205	-62.2521	96.2231	7267	35.11	0.40	207476	1	-62.25	96.22	7267	35.11	0.40
212	-45.3440	106.3213	11229	36.57	0.40	205137	1	-45.34	106.32	11229	36.57	0.40
218	-45.1747	106.4096	1051	30.80	0.21	211714	1	-45.17	106.41	1051	31.01	0.17
224	-65.2725	321.5640	10349	36.10	0.50	200108	11	-65.19	320.56	10579	35.74	0.12
226	-52.4005	103.2027	11946	34.83	0.40	200076	13	-52.86	103.98	11576	35.37	0.28
250	-38.3606	108.8693	7265	34.82	0.16	208532	1	-38.36	108.87	7265	34.82	0.16
255	-46.0988	106.2143	878	31.44	0.30	211714	1	-46.10	106.21	878	31.01	0.17
259	-45.1656	106.5852	6412	35.19	0.40	0	1	-45.17	106.59	6412	35.19	0.40
262	-70.9101	330.1064	9040	35.67	0.50	208331	1	-70.91	330.11	9040	35.67	0.50
265	-64.6904	320.6851	11900	35.37	0.40	200108	11	-65.19	320.56	10579	35.74	0.12
279	-40.7610	108.2279	2311	32.34	0.30	202396	2	-40.69	107.82	2356	32.34	0.30
280	-64.1325	320.0161	10499	35.18	0.40	207374	1	-64.13	320.02	10499	35.71	0.31
282	-70.5385	85.7160	11344	35.95	0.20	0	1	-70.54	85.72	11344	35.95	0.20
291	-64.3012	320.1115	11133	35.96	0.40	200108	11	-65.19	320.56	10579	35.74	0.12
292	-64.8254	320.6757	11875	36.12	0.40	205875	1	-64.83	320.68	11875	36.12	0.40
293	-73.2685	79.4475	7269	35.08	0.50	209619	1	-73.27	79.45	7269	35.08	0.50
