# k[1/Mpc]	pow[Mpc^3]
0.001000	17225.221913
0.001077	18391.083703
0.001159	19627.376386
0.001248	20937.158593
0.001343	22322.117006
0.001446	23785.452309
0.001557	25328.044122
0.001676	26952.670652
0.001804	28658.950906
0.001943	30449.299869
0.002091	32321.877232
0.002251	34276.399447
0.002424	36313.039382
0.002609	38422.795165
0.002809	40612.418910
0.003024	42862.176917
0.003256	45180.290760
0.003505	47547.074832
0.003773	49956.669214
0.004062	52399.197539
0.004373	54854.617999
0.004708	57309.647540
0.005069	59746.556419
0.005457	62137.785358
0.005875	64463.360714
0.006325	66693.713184
0.006809	68796.255627
0.007330	70738.816711
0.007891	72481.794033
0.008496	73986.974538
0.009146	75216.043876
0.009846	76127.016273
0.010600	76668.112427
0.011412	76822.710293
0.012286	76542.958493
0.013226	75783.354423
0.014239	74534.472813
0.015329	72802.035829
0.016503	70515.899245
0.017767	67824.977725
0.019127	64760.456774
0.020592	61400.389204
0.022168	57802.703777
0.023866	54122.581686
0.025693	50422.700003
0.027660	46907.542256
0.029778	43706.640382
0.032058	40926.090793
0.034513	38524.355767
0.037155	36447.555267
0.040000	34585.041590
0.041074	33927.873692
0.042148	33277.046718
0.043221	32624.727672
0.044295	31963.922892
0.045369	31292.080670
0.046443	30607.651476
0.047517	29910.814028
0.048591	29203.019495
0.049664	28487.149425
0.050738	27764.674949
0.051812	27039.540143
0.052886	26314.976511
0.053960	25594.513095
0.055034	24881.455858
0.056107	24179.703358
0.057181	23490.857689
0.058255	22818.460724
0.059329	22164.921983
0.060403	21532.412467
0.061477	20923.027284
0.062550	20338.854681
0.063624	19780.166331
0.064698	19248.680133
0.065772	18745.260240
0.066846	18270.487646
0.067919	17825.017395
0.068993	17408.063431
0.070067	17019.751483
0.071141	16659.606583
0.072215	16326.616349
0.073289	16019.672353
0.074362	15737.385696
0.075436	15477.405380
0.076510	15237.826210
0.077584	15016.195959
0.078658	14809.798776
0.079732	14615.823012
0.080805	14431.546572
0.081879	14253.651636
0.082953	14079.484799
0.084027	13906.553985
0.085101	13732.450843
0.086174	13555.496511
0.087248	13373.880768
0.088322	13186.809416
0.089396	12993.776528
0.090470	12794.819601
0.091544	12590.328141
0.092617	12381.362627
0.093691	12168.672654
0.094765	11953.752907
0.095839	11738.119452
0.096913	11523.373709
0.097987	11310.988914
0.099060	11102.661189
0.100134	10899.293413
0.101208	10702.258434
0.102282	10512.481621
0.103356	10330.699282
0.104430	10157.372258
0.105503	9992.891057
0.106577	9836.880375
0.107651	9689.308624
0.108725	9549.734116
0.109799	9417.545244
0.110872	9292.129455
0.111946	9172.478744
0.113020	9057.904906
0.114094	8947.618668
0.115168	8840.955478
0.116242	8737.324277
0.117315	8636.372035
0.118389	8537.623057
0.119463	8441.013005
0.120537	8346.479554
0.121611	8254.025179
0.122685	8163.674607
0.123758	8075.559933
0.124832	7989.492566
0.125906	7905.499699
0.126980	7823.420330
0.128054	7743.044661
0.129128	7664.099946
0.130201	7586.349345
0.131275	7509.336017
0.132349	7432.823745
0.133423	7356.573204
0.134497	7280.379225
0.135570	7204.186405
0.136644	7127.802861
0.137718	7051.373530
0.138792	6974.957592
0.139866	6898.758598
0.140940	6822.963681
0.142013	6747.864869
0.143087	6673.592102
0.144161	6600.418022
0.145235	6528.562323
0.146309	6458.231708
0.147383	6389.586193
0.148456	6322.784949
0.149530	6257.795673
0.150604	6194.753939
0.151678	6133.623815
0.152752	6074.419041
0.153826	6017.072301
0.154899	5961.562724
0.155973	5907.678090
0.157047	5855.357505
0.158121	5804.498898
0.159195	5754.958261
0.160268	5706.644376
0.161342	5659.334998
0.162416	5612.954826
0.163490	5567.406683
0.164564	5522.547150
0.165638	5478.329519
0.166711	5434.668103
0.167785	5391.439985
0.168859	5348.636961
0.169933	5306.201442
0.171007	5264.145444
0.172081	5222.416844
0.173154	5181.075099
0.174228	5140.046730
0.175302	5099.371787
0.176376	5059.094023
0.177450	5019.235354
0.178523	4979.835759
0.179597	4940.869715
0.180671	4902.408518
0.181745	4864.447740
0.182819	4827.030559
0.183893	4790.176652
0.184966	4753.930524
0.186040	4718.235641
0.187114	4683.143280
0.188188	4648.631684
0.189262	4614.722983
0.190336	4581.403233
0.191409	4548.689189
0.192483	4516.514844
0.193557	4484.882241
0.194631	4453.789262
0.195705	4423.205295
0.196779	4393.116103
0.197852	4363.535282
0.198926	4334.368108
0.200000	4305.642327
0.201000	4279.261428
0.205353	4168.196569
0.209800	4060.282223
0.214344	3955.088772
0.218986	3852.558760
0.223729	3752.946949
0.228574	3656.676282
0.233524	3564.151938
0.238582	3475.671984
0.243749	3391.372609
0.249028	3311.160661
0.254421	3234.800039
0.259931	3161.898748
0.265560	3092.020755
0.271312	3024.701540
0.277187	2959.535567
0.283190	2896.137329
0.289324	2834.209264
0.295589	2773.578892
0.301991	2714.072242
0.308531	2655.644639
0.315213	2598.269055
0.322040	2541.966099
0.329014	2486.800024
0.336140	2432.813102
0.343420	2380.060273
0.350857	2328.615925
0.358456	2278.498700
0.366219	2229.746388
0.374150	2182.370437
0.382253	2136.363964
0.390531	2091.700439
0.398989	2048.346084
0.407630	2006.263763
0.416458	1965.389435
0.425478	1925.667391
0.434692	1887.035161
0.444106	1849.429538
0.453724	1812.773615
0.463551	1777.004741
0.473590	1742.072236
0.483846	1707.910881
0.494325	1674.458518
0.505031	1641.669243
0.515968	1609.505252
0.527143	1577.915566
0.538559	1546.869109
0.550223	1516.329469
0.562139	1486.276225
0.574313	1456.681194
0.586751	1427.519262
0.599459	1398.776843
0.612441	1370.439925
0.625705	1342.491774
0.639256	1314.924312
0.653100	1287.729585
0.667244	1260.895779
0.681695	1234.415888
0.696459	1208.283837
0.711542	1182.497131
0.726952	1157.048421
0.742696	1131.931508
0.758780	1107.145846
0.775213	1082.685864
0.792002	1058.544886
0.809154	1034.725029
0.826678	1011.217359
0.844582	988.020255
0.862873	965.131887
0.881560	942.549665
0.900652	920.271130
0.920158	898.287858
0.940086	876.605237
0.960445	855.217567
0.981246	834.125406
1.002497	813.325493
1.024208	792.818054
1.046389	772.603172
1.069051	752.678034
1.092204	733.045011
1.115858	713.705149
1.140024	694.659407
1.164714	675.908721
1.189938	657.455746
1.215709	639.299313
1.242037	621.445337
1.268936	603.894732
1.296418	586.647027
1.324494	569.709271
1.353179	553.082401
1.382485	536.767030
1.412426	520.765601
1.443015	505.083348
1.474266	489.720292
1.506195	474.676578
1.538814	459.956920
1.572141	445.558455
1.606189	431.484414
1.640974	417.735991
1.676513	404.310140
1.712821	391.209092
1.749916	378.430583
1.787814	365.973338
1.826533	353.835752
1.866090	342.016233
1.906504	330.510569
1.947794	319.316827
1.989977	308.432438
2.033075	297.852395
2.077105	287.572960
2.122089	277.590402
2.168047	267.898960
2.215001	258.494850
2.262972	249.372618
2.311981	240.526787
2.362052	231.952221
2.413207	223.643242
2.465470	215.593491
2.518865	207.798070
2.573416	200.250997
2.629149	192.946096
2.686089	185.877370
2.744262	179.038984
2.803695	172.424865
2.864414	166.029088
2.926449	159.846165
2.989828	153.869543
3.054579	148.093933
3.120732	142.513833
3.188318	137.123187
3.257368	131.916712
3.327913	126.888764
3.399986	122.034288
3.473620	117.347813
3.548848	112.824638
3.625706	108.459690
3.704229	104.247769
3.784451	100.184779
3.866412	96.265859
3.950147	92.486926
4.035696	88.843364
4.123097	85.331090
4.212391	81.946221
4.303620	78.684955
4.396824	75.543577
4.492046	72.518527
4.589331	69.606578
4.688722	66.804039
4.790267	64.107820
4.894010	61.515038
5.000000	59.022689
