# rSmooth[Mpc/h]	czMin[km/s]	fSig8	fSig8_eShot	fSig8_eDist	fSig8_eCal	fSig8_eTot	fSig8Lin	fSig8Lin_eShot	fSig8Lin_eDist	fSig8Lin_eCal	fSig8Lin_eTot	BExtX[km/s]	BExtX_eShot[km/s]	BExtX_eDist[km/s]	BExtX_eCal[km/s]	BExtX_eTot[km/s]	BExtY[km/s]	BExtY_eShot[km/s]	BExtY_eDist[km/s]	BExtY_eCal[km/s]	BExtY_eTot[km/s]	BExtZ[km/s]	BExtZ_eShot[km/s]	BExtZ_eDist[km/s]	BExtZ_eCal[km/s]	BExtZ_eTot[km/s]	h	h_eShot	h_eDist	h_eCal	h_eTot
5.0	0.0	0.47173	0.01154	0.01162	0.10043	0.10175	0.42687	0.01044	0.01051	0.09088	0.09208	119.37	44.81	4.80	29.98	54.12	-136.55	49.35	7.62	40.82	64.50	51.21	45.78	5.13	36.36	58.69	0.74851	0.00120	0.00108	0.00570	0.00593
5.0	1000.0	0.44226	0.01097	0.01917	0.04486	0.05001	0.40020	0.00993	0.01734	0.04060	0.04525	113.13	42.06	11.81	3.74	43.85	-171.67	46.49	11.72	3.67	48.08	51.97	43.10	7.51	24.55	50.17	0.74860	0.00089	0.00112	0.00533	0.00552
5.0	2000.0	0.38498	0.01573	0.02747	0.04568	0.05558	0.34836	0.01423	0.02486	0.04134	0.05029	100.44	36.09	16.04	8.32	40.36	-188.38	39.97	16.42	19.88	47.57	58.77	37.84	13.20	2.82	40.17	0.74937	0.00069	0.00117	0.00479	0.00498
5.0	3000.0	0.36751	0.02469	0.03673	0.05219	0.06843	0.33256	0.02234	0.03324	0.04723	0.06193	67.54	32.37	20.34	2.88	38.33	-187.84	36.01	20.66	0.53	41.52	47.68	34.41	17.87	8.81	39.76	0.74826	0.00058	0.00123	0.00480	0.00498
5.0	4000.0	0.31348	0.02829	0.04142	0.04229	0.06561	0.28367	0.02560	0.03749	0.03827	0.05937	56.73	26.61	23.00	3.14	35.31	-188.29	29.73	24.32	12.94	40.53	41.18	28.59	20.43	4.01	35.37	0.74750	0.00049	0.00128	0.00471	0.00491
5.0	5000.0	0.38128	0.03739	0.05255	0.05571	0.08522	0.34502	0.03383	0.04755	0.05041	0.07712	21.80	30.76	28.37	1.19	41.86	-186.70	34.16	31.17	1.42	46.26	24.78	33.40	23.80	7.60	41.71	0.74729	0.00060	0.00138	0.00445	0.00470
10.0	0.0	0.43163	0.01550	0.01332	0.10528	0.10724	0.39058	0.01402	0.01205	0.09527	0.09705	110.60	58.86	5.06	31.71	67.05	-153.73	65.25	9.61	72.62	98.10	131.46	60.00	5.22	55.70	82.03	0.74808	0.00131	0.00108	0.00721	0.00741
10.0	1000.0	0.42280	0.01890	0.01945	0.04254	0.05046	0.38259	0.01711	0.01760	0.03850	0.04566	118.09	54.73	11.88	1.98	56.04	-162.38	60.29	13.21	5.24	61.94	43.38	56.56	8.38	24.59	62.24	0.74782	0.00111	0.00112	0.00539	0.00562
10.0	2000.0	0.40032	0.02477	0.02779	0.04079	0.05523	0.36225	0.02242	0.02515	0.03691	0.04997	97.15	50.10	16.24	7.98	53.26	-180.10	55.12	17.88	17.12	60.43	44.06	52.70	13.71	1.25	54.47	0.74930	0.00094	0.00117	0.00475	0.00498
10.0	3000.0	0.45726	0.04032	0.03958	0.05037	0.07570	0.41377	0.03649	0.03581	0.04558	0.06850	59.31	55.43	20.72	5.99	59.48	-171.16	60.61	22.24	6.64	64.90	46.37	59.50	18.79	15.90	64.39	0.74877	0.00098	0.00124	0.00459	0.00485
