# rSmooth[Mpc/h]	czMin[km/s]	fSig8	fSig8_eShot	fSig8_eDist	BExtX[km/s]	BExtX_eShot[km/s]	BExtX_eDist[km/s]	BExtY[km/s]	BExtY_eShot[km/s]	BExtY_eDist[km/s]	BExtZ[km/s]	BExtZ_eShot[km/s]	BExtZ_eDist[km/s]	h	h_eShot	h_eDist	chiSq/dof
5.0	0.0	0.41621	0.00988	0.00962	144.42	49.17	5.67	-125.80	53.41	8.07	25.85	49.19	5.84	0.74400	0.00098	0.00108	1.441
5.0	1000.0	0.36586	0.00977	0.01573	114.84	42.89	11.70	-190.56	45.93	11.19	32.48	42.83	7.60	0.74287	0.00077	0.00111	1.378
5.0	2000.0	0.31912	0.01242	0.02206	90.67	36.51	15.83	-181.31	39.39	16.05	65.56	38.13	13.19	0.74531	0.00061	0.00116	1.302
5.0	3000.0	0.29350	0.01835	0.02830	62.89	33.29	20.18	-204.89	36.29	20.25	61.48	36.17	17.72	0.74522	0.00053	0.00122	1.249
5.0	4000.0	0.24430	0.02301	0.03197	58.43	27.51	22.89	-191.80	29.93	24.10	41.78	30.14	20.36	0.74504	0.00046	0.00128	1.226
5.0	5000.0	0.29159	0.02943	0.03962	18.11	32.33	28.69	-207.85	35.26	31.99	39.31	35.77	23.74	0.74558	0.00060	0.00140	1.215
10.0	0.0	0.55459	0.01768	0.01557	143.85	65.03	5.89	-71.91	69.70	9.75	72.31	65.67	5.96	0.74587	0.00117	0.00109	1.499
10.0	1000.0	0.48193	0.02068	0.02142	121.77	55.82	11.79	-145.03	59.89	12.24	14.62	57.13	8.15	0.74219	0.00097	0.00111	1.382
10.0	2000.0	0.43646	0.02494	0.02951	90.66	49.75	15.98	-150.92	53.47	16.81	41.37	52.70	13.30	0.74516	0.00082	0.00116	1.301
10.0	3000.0	0.51767	0.04362	0.04317	55.14	58.34	20.51	-165.93	62.86	21.01	58.01	64.46	18.18	0.74579	0.00093	0.00123	1.244
10.0	4000.0	0.47044	0.05070	0.05035	51.98	52.59	23.29	-159.40	56.65	24.79	42.86	58.90	20.95	0.74555	0.00085	0.00128	1.221
10.0	5000.0	0.49999	0.05968	0.06018	8.25	54.85	29.09	-181.42	59.57	32.62	47.90	62.59	24.40	0.74594	0.00098	0.00140	1.212
15.0	0.0	0.67479	0.03420	0.02234	151.36	78.70	6.29	-55.12	83.62	11.09	102.27	79.84	6.31	0.74492	0.00132	0.00108	1.534
15.0	1000.0	0.58337	0.03831	0.02835	131.69	67.30	11.96	-115.47	72.16	13.45	7.12	70.03	8.77	0.74170	0.00111	0.00111	1.391
15.0	2000.0	0.51783	0.04087	0.03639	92.70	58.83	16.15	-126.76	63.15	17.77	17.01	63.10	13.68	0.74516	0.00094	0.00116	1.304
15.0	3000.0	0.63185	0.06567	0.05179	50.39	70.87	20.75	-129.58	76.07	21.94	48.01	79.32	18.58	0.74613	0.00112	0.00123	1.244
15.0	4000.0	0.59064	0.07295	0.06159	46.17	65.78	23.63	-129.60	70.67	25.56	44.29	74.83	21.44	0.74579	0.00105	0.00128	1.220
15.0	5000.0	0.63990	0.08960	0.07666	3.52	70.07	29.54	-163.38	75.65	33.35	55.67	81.59	25.15	0.74618	0.00122	0.00140	1.211
20.0	0.0	0.83121	0.06324	0.03084	163.63	96.68	6.95	-42.27	102.35	12.35	106.78	99.65	7.20	0.74439	0.00153	0.00108	1.554
20.0	1000.0	0.68202	0.06420	0.03677	140.18	78.42	12.26	-97.33	83.98	14.74	2.35	82.97	9.58	0.74157	0.00123	0.00111	1.400
20.0	2000.0	0.59082	0.06149	0.04426	94.31	66.90	16.39	-108.00	71.91	18.88	3.24	72.71	14.24	0.74534	0.00104	0.00116	1.307
20.0	3000.0	0.67972	0.08566	0.05871	49.09	76.05	20.98	-105.35	81.58	23.00	42.70	85.66	18.96	0.74643	0.00118	0.00123	1.246
20.0	4000.0	0.63445	0.09230	0.06932	43.35	70.54	23.88	-107.81	75.84	26.48	45.56	80.64	21.82	0.74601	0.00112	0.00128	1.222
20.0	5000.0	0.70884	0.11969	0.08925	2.69	77.64	29.95	-150.98	83.76	34.24	59.70	91.31	25.83	0.74641	0.00134	0.00140	1.212
25.0	0.0	1.00691	0.10469	0.04074	172.82	116.89	7.82	-28.79	123.41	13.65	97.84	123.13	8.48	0.74405	0.00176	0.00108	1.565
25.0	1000.0	0.76459	0.09838	0.04627	146.36	87.69	12.70	-87.86	93.83	16.12	0.58	94.41	10.56	0.74157	0.00134	0.00111	1.408
25.0	2000.0	0.65301	0.08746	0.05340	95.26	73.74	16.73	-95.91	79.48	20.13	-2.40	81.19	14.91	0.74553	0.00113	0.00116	1.310
25.0	3000.0	0.71077	0.10886	0.06691	48.17	79.45	21.28	-90.55	85.26	24.23	41.39	89.93	19.44	0.74667	0.00123	0.00123	1.249
25.0	4000.0	0.65166	0.11356	0.07747	41.35	72.41	24.19	-93.64	78.11	27.64	46.25	82.95	22.25	0.74617	0.00116	0.00128	1.223
25.0	5000.0	0.72573	0.14830	0.09999	3.94	79.57	30.36	-144.85	86.36	35.31	60.56	93.98	26.45	0.74652	0.00138	0.00141	1.214
30.0	0.0	1.17972	0.15568	0.05166	176.77	136.71	8.82	-15.59	143.76	15.01	88.34	147.20	9.95	0.74372	0.00198	0.00108	1.572
30.0	1000.0	0.82960	0.13969	0.05665	149.43	95.18	13.26	-83.03	101.95	17.64	2.16	104.05	11.66	0.74158	0.00142	0.00111	1.414
30.0	2000.0	0.70312	0.11849	0.06376	95.18	79.27	17.18	-88.94	85.99	21.54	-3.56	88.34	15.71	0.74564	0.00121	0.00117	1.313
30.0	3000.0	0.73724	0.13662	0.07687	46.77	82.44	21.69	-82.17	88.82	25.63	41.54	93.79	20.06	0.74681	0.00128	0.00123	1.251
30.0	4000.0	0.66009	0.13803	0.08735	39.61	73.42	24.58	-86.01	79.87	29.02	46.36	84.29	22.83	0.74624	0.00119	0.00129	1.225
30.0	5000.0	0.71507	0.17670	0.11084	6.33	78.65	30.82	-144.93	86.57	36.55	59.72	93.00	27.11	0.74648	0.00141	0.00141	1.216
