# rSmooth[Mpc/h]	czMin[km/s]	fSig8	fSig8_eShot	fSig8_eDist	BExtX[km/s]	BExtX_eShot[km/s]	BExtX_eDist[km/s]	BExtY[km/s]	BExtY_eShot[km/s]	BExtY_eDist[km/s]	BExtZ[km/s]	BExtZ_eShot[km/s]	BExtZ_eDist[km/s]	h	h_eShot	h_eDist	chiSq/dof
5.0	0.0	0.36780	0.00913	0.00972	87.62	39.97	3.73	-183.70	44.92	7.15	90.94	42.09	4.31	0.73984	0.00137	0.00106	1.452
5.0	1000.0	0.37843	0.00868	0.01651	103.00	41.21	11.92	-189.81	47.04	12.23	88.53	43.37	7.42	0.74299	0.00098	0.00112	1.366
5.0	2000.0	0.33453	0.01421	0.02449	103.91	35.67	16.24	-225.81	40.54	16.79	65.17	37.55	13.20	0.74394	0.00076	0.00117	1.302
5.0	3000.0	0.29509	0.02105	0.03045	64.82	31.42	20.49	-208.46	35.72	21.07	49.53	32.55	18.01	0.74403	0.00062	0.00123	1.243
5.0	4000.0	0.24374	0.02101	0.03251	49.10	25.68	23.11	-219.68	29.53	24.53	53.66	26.96	20.50	0.74433	0.00051	0.00128	1.231
5.0	5000.0	0.27957	0.02653	0.03909	16.12	29.10	28.04	-214.27	33.02	30.33	30.24	30.84	23.86	0.74506	0.00060	0.00136	1.228
10.0	0.0	0.47997	0.01998	0.01662	89.63	51.96	4.06	-188.69	60.48	9.46	166.66	53.74	4.36	0.73494	0.00141	0.00105	1.538
10.0	1000.0	0.50335	0.02341	0.02395	123.83	53.62	11.97	-141.81	60.69	14.12	53.44	55.99	8.60	0.74132	0.00121	0.00112	1.376
10.0	2000.0	0.47662	0.03122	0.03374	110.39	50.44	16.49	-179.40	56.73	18.89	32.86	52.70	14.10	0.74345	0.00104	0.00117	1.300
10.0	3000.0	0.49294	0.04541	0.04424	69.14	52.36	20.93	-151.83	58.28	23.40	23.27	54.09	19.39	0.74399	0.00101	0.00123	1.239
10.0	4000.0	0.43486	0.04675	0.04901	52.68	45.97	23.61	-178.57	51.01	26.52	34.38	47.77	22.01	0.74427	0.00088	0.00128	1.227
